Route	Call	Port	Time
1	1	Singapore	6
1	2	Brisbane	14
1	3	Sydney	16
1	4	Melbourne	17
1	5	Adelaide	19
1	6	Fremantle	22
1	7	Singapore	27
2	1	Xiamen	2
2	2	Chiwan	3
2	3	HongKong	4
2	4	Singapore	8
2	5	PortKlang	9
2	6	Salalah	15
2	7	Jeddah	19
2	8	Aqabah	21
2	9	Salalah	25
2	10	Singapore	32
2	11	Xiamen	37
3	1	Yokohama	4
3	2	Tokyo	6
3	3	Nagoya	8
3	4	Kobe	10
3	5	Shanghai	13
3	6	Yokohama	18
4	1	HoChiMinh	1
4	2	LaemChabang	4
4	3	Singapore	8
4	4	PortKlang	11
4	5	HoChiMinh	15
5	1	Brisbane	5
5	2	Sydney	8
5	3	Melbourne	10
5	4	Adelaide	12
5	5	Fremantle	17
5	6	Jakarta	22
5	7	Singapore	24
5	8	Brisbane	33
6	1	Manila	4
6	2	Kaohsiung	6
6	3	Xiamen	8
6	4	HongKong	10
6	5	Yantian	12
6	6	Chiwan	13
6	7	HongKong	15
6	8	Manila	18
7	1	Dalian	2
7	2	Xingang	3
7	3	Qingdao	5
7	4	Shanghai	7
7	5	Ningbo	9
7	6	Shanghai	10
7	7	Kwangyang	12
7	8	Busan	13
7	9	Dalian	16
8	1	Chittagong	5
8	2	Chennai	8
8	3	Colombo	11
8	4	Cochin	13
8	5	NhavaSheva	16
8	6	Cochin	18
8	7	Colombo	20
8	8	Chennai	23
8	9	Chittagong	26
9	1	Sokhna	6
9	2	Aqabah	8
9	3	Jeddah	10
9	4	Salalah	14
9	5	Karachi	17
9	6	JebelAli	19
9	7	Salalah	22
9	8	Sokhna	27
10	1	Southampton	6
10	2	Thamesport	7
10	3	Hamburg	8
10	4	Bremerhaven	9
10	5	Rotterdam	10
10	6	Antwerp	11
10	7	ebrugge	11
10	8	LeHavre	12
10	9	Southampton	13
11	1	Southampton	2
11	2	Sokhna	8
11	3	Salalah	12
11	4	Colombo	15
11	5	Singapore	18
11	6	HongKong	21
11	7	Xiamen	22
11	8	Shanghai	24
11	9	Busan	25
11	10	Dalian	27
11	11	Xingang	27
11	12	Qingdao	29
11	13	Shanghai	30
11	14	HongKong	32
11	15	Singapore	35
11	16	Colombo	38
11	17	Salalah	41
11	18	Southampton	51
